track_id,track_name,artist_name,album_name,popularity,track_uri
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,91,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,85,spotify:track:2OzhQlSqBEmt7hmkYxfT6m
4R2kfaDFhslZEMJqAFNpdd,cardigan,Taylor Swift,folklore,86,spotify:track:4R2kfaDFhslZEMJqAFNpdd
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,folklore,86,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,Lover,86,spotify:track:1dGr1c8CrMLDpV6mPbImSI
1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,1989,74,spotify:track:1p80LdxRV74UKvL8gnD7ky
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,83,spotify:track:4q5YezDOIPcoLr8R81x9qy
55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,reputation Stadium Tour Surprise Song Playlist,84,spotify:track:55n9yjI6qqXh5F2mYvUc2y
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,reputation,85,spotify:track:1R0a2iXumgCiFb7HEZ7gUE
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,Midnights,84,spotify:track:0V3wPSX9ygBnCm8psDIegu
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,$ome $exy $ongs 4 U,94,spotify:track:2u9S9JJ6hTZS3Vf22HOZKg
1zi7xx7UVEFkmKfv06H8x0,One Dance,Drake,Views,89,spotify:track:1zi7xx7UVEFkmKfv06H8x0
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,PARTYNEXTDOOR,$ome $exy $ongs 4 U,88,spotify:track:0NUqi0ps17YpLUC3kgsZq0
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Drake,More Life,87,spotify:track:5mCPDVBb16L4XQwDdbRUpz
0b4M7hd7mzLTm99MrMeZsp,She Will,Lil Wayne,Tha Carter IV (Complete Edition),82,spotify:track:0b4M7hd7mzLTm99MrMeZsp
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,Scorpion,85,spotify:track:6DCZcSspjsKoFjzjrWoCdn
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,85,spotify:track:59nOXPmaKlBfGMDeOVGrIK
6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,Take Care (Deluxe),84,spotify:track:6LxSe8YmdPxy095Ux6znaQ
